madoo,aya1,Daisy,STUDBME2,ahmedNasser,Aya,"Mahmoud Mohamed ",Redmi,CMP-lab1,ARC3,DIRECT-SUDESKTOP-47FLMSPmsXJ,El-modarag,Alaa1,Maisaa,CUFE,CMP_LAB1,badra22,CMP_LAB2,WE_0CF411,sheren,realme 7i,STUDBME1,CMP_LAB3,El-lab,khhh_h,CMP_LAB4,Ramadan,POCO F3,location
-53,-67,-73,-64,-83,-87,-100,-55,-67,-100,-87,-100,-82,-75,-100,-71,-100,-100,-73,-66,-100,-100,-100,-100,-100,-70,-100,-100,HW 22
-52,-67,-75,-58,-83,-93,-87,-56,-100,-100,-100,-75,-84,-75,-79,-73,-100,-100,-68,-76,-100,-100,-74,-75,-100,-100,-100,-100,HW 22
-55,-68,-81,-65,-81,-88,-85,-70,-78,-73,-100,-75,-78,-79,-100,-76,-100,-100,-100,-65,-100,-100,-100,-100,-100,-74,-100,-100,HW 22
-55,-68,-71,-64,-74,-77,-86,-64,-68,-100,-87,-100,-81,-68,-73,-100,-85,-68,-70,-64,-100,-100,-100,-100,-77,-68,-100,-100,HW 22
-49,-73,-85,-59,-78,-68,-88,-60,-100,-76,-86,-69,-78,-70,-80,-100,-90,-72,-68,-57,-82,-52,-74,-100,-100,-73,-100,-100,HW 22
-52,-76,-79,-62,-79,-81,-81,-71,-100,-71,-100,-74,-78,-67,-100,-74,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-46,-69,-85,-58,-84,-76,-78,-69,-100,-100,-84,-69,-70,-71,-73,-100,-100,-68,-73,-56,-100,-100,-65,-100,-100,-100,-100,-100,HW 22
-46,-63,-78,-50,-78,-86,-85,-65,-77,-79,-87,-68,-77,-77,-100,-100,-100,-63,-74,-65,-82,-45,-100,-85,-100,-63,-67,-100,HW 22
-58,-73,-79,-52,-71,-71,-88,-50,-69,-100,-80,-68,-68,-67,-80,-65,-100,-64,-69,-67,-82,-100,-65,-100,-100,-63,-53,-100,HW 22
-47,-64,-77,-58,-90,-72,-91,-58,-100,-72,-86,-100,-67,-62,-71,-100,-100,-70,-100,-64,-91,-48,-67,-100,-100,-100,-58,-100,HW 22
-47,-55,-72,-48,-80,-81,-88,-74,-74,-74,-82,-76,-82,-71,-100,-58,-100,-100,-58,-69,-100,-50,-61,-100,-100,-58,-50,-100,HW 22
-53,-53,-68,-53,-74,-91,-79,-60,-100,-100,-82,-79,-76,-83,-100,-100,-100,-69,-67,-68,-100,-100,-100,-100,-73,-100,-52,-100,HW 22
-50,-60,-81,-61,-70,-87,-77,-70,-100,-70,-80,-100,-76,-75,-100,-100,-100,-71,-66,-56,-91,-100,-70,-100,-76,-100,-55,-100,HW 22
-50,-57,-79,-69,-85,-77,-73,-73,-74,-100,-82,-69,-77,-86,-100,-65,-100,-100,-67,-64,-100,-100,-100,-100,-100,-68,-46,-100,HW 22
-53,-61,-90,-66,-68,-100,-73,-61,-73,-100,-89,-70,-84,-76,-83,-76,-100,-100,-100,-60,-100,-100,-100,-100,-68,-100,-58,-100,HW 22
-50,-72,-90,-68,-80,-89,-78,-79,-100,-80,-91,-76,-79,-83,-100,-100,-100,-68,-79,-64,-100,-100,-100,-100,-79,-100,-68,-100,HW 22
-41,-71,-76,-62,-67,-83,-75,-68,-84,-100,-88,-100,-88,-77,-84,-72,-100,-100,-71,-56,-100,-55,-71,-100,-100,-100,-100,-100,HW 22
-37,-66,-78,-60,-72,-100,-87,-59,-100,-100,-85,-74,-72,-73,-72,-61,-100,-62,-100,-55,-100,-100,-62,-100,-56,-100,-74,-100,HW 22
-48,-69,-80,-50,-73,-78,-85,-62,-100,-72,-88,-100,-80,-65,-100,-69,-80,-100,-69,-51,-85,-100,-69,-100,-55,-100,-66,-100,HW 22
-57,-61,-82,-51,-78,-71,-83,-62,-100,-100,-78,-68,-81,-66,-100,-67,-100,-100,-69,-52,-100,-100,-100,-100,-48,-67,-100,-100,HW 22
-45,-60,-82,-53,-89,-69,-100,-55,-69,-100,-84,-100,-71,-74,-71,-66,-100,-100,-69,-48,-82,-100,-67,-77,-51,-100,-64,-100,HW 22
-50,-61,-83,-56,-82,-79,-85,-62,-72,-76,-83,-73,-73,-74,-100,-100,-100,-100,-69,-51,-87,-48,-100,-100,-53,-67,-69,-100,HW 22
-44,-59,-87,-68,-76,-80,-86,-57,-81,-100,-91,-74,-70,-65,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-56,-74,-100,-100,HW 22
-48,-74,-88,-60,-81,-77,-86,-71,-100,-77,-88,-75,-75,-74,-100,-100,-100,-71,-74,-45,-81,-100,-72,-100,-74,-100,-70,-100,HW 22
-61,-69,-72,-58,-75,-80,-93,-67,-100,-100,-84,-76,-80,-77,-100,-71,-100,-100,-66,-51,-92,-48,-100,-100,-100,-100,-68,-100,HW 22
-53,-59,-71,-64,-76,-72,-91,-73,-73,-100,-83,-68,-75,-82,-74,-64,-100,-72,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-54,-64,-92,-63,-74,-88,-70,-63,-100,-100,-100,-71,-75,-71,-100,-100,-100,-100,-73,-61,-100,-53,-73,-100,-83,-100,-84,-100,HW 22
-47,-71,-75,-63,-71,-89,-81,-61,-73,-100,-83,-70,-75,-66,-75,-100,-100,-100,-64,-47,-100,-100,-100,-100,-100,-67,-100,-84,HW 22
-47,-66,-77,-65,-76,-100,-80,-68,-100,-100,-84,-76,-83,-76,-78,-100,-100,-68,-71,-59,-100,-100,-68,-84,-73,-100,-100,-100,HW 22
-49,-63,-76,-56,-73,-84,-100,-61,-76,-100,-100,-100,-77,-81,-100,-100,-100,-100,-73,-54,-100,-100,-73,-100,-100,-71,-100,-100,HW 22
-51,-58,-78,-57,-72,-85,-79,-71,-100,-71,-87,-72,-80,-72,-79,-68,-100,-69,-100,-55,-100,-100,-70,-100,-100,-68,-68,-100,HW 22
-45,-69,-86,-60,-73,-85,-85,-66,-100,-100,-91,-71,-90,-73,-85,-84,-100,-72,-100,-46,-100,-100,-75,-100,-90,-71,-100,-100,HW 22
-44,-72,-78,-67,-71,-83,-84,-69,-73,-72,-87,-65,-81,-56,-100,-74,-100,-76,-78,-52,-100,-100,-73,-100,-100,-76,-73,-100,HW 22
-40,-65,-82,-63,-72,-87,-69,-69,-100,-100,-90,-71,-84,-59,-78,-73,-100,-73,-100,-51,-100,-59,-71,-100,-100,-70,-100,-100,HW 22
-39,-66,-85,-66,-78,-80,-74,-61,-100,-100,-84,-69,-75,-71,-79,-100,-87,-100,-68,-53,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-47,-69,-84,-59,-87,-79,-86,-60,-100,-73,-79,-100,-81,-100,-100,-65,-100,-100,-100,-53,-84,-100,-100,-100,-100,-67,-67,-100,HW 22
-44,-69,-81,-58,-77,-70,-78,-62,-100,-100,-87,-65,-83,-100,-77,-72,-100,-75,-71,-52,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-53,-66,-77,-46,-79,-100,-75,-70,-100,-74,-82,-100,-76,-100,-77,-68,-100,-70,-70,-51,-82,-100,-70,-100,-100,-67,-64,-100,HW 22
-57,-65,-77,-53,-82,-83,-83,-54,-72,-100,-84,-77,-79,-100,-78,-71,-100,-72,-100,-59,-100,-51,-69,-100,-100,-70,-73,-100,HW 22
-52,-68,-79,-54,-82,-83,-100,-65,-77,-100,-76,-72,-75,-100,-74,-67,-100,-68,-61,-50,-89,-100,-68,-77,-100,-67,-100,-91,HW 22
-52,-72,-78,-51,-77,-76,-84,-66,-71,-100,-83,-100,-71,-100,-100,-62,-100,-100,-64,-54,-100,-49,-60,-100,-100,-62,-100,-100,HW 22
-49,-63,-79,-52,-72,-83,-78,-67,-78,-73,-86,-100,-77,-100,-75,-70,-100,-69,-68,-59,-94,-56,-69,-100,-100,-70,-63,-84,HW 22
-53,-67,-73,-51,-72,-100,-76,-66,-100,-100,-78,-100,-82,-100,-81,-67,-100,-65,-100,-100,-100,-100,-67,-100,-100,-68,-62,-100,HW 22
-53,-73,-73,-56,-76,-85,-87,-68,-69,-81,-82,-100,-82,-100,-100,-72,-85,-71,-67,-68,-100,-48,-69,-100,-100,-72,-71,-100,HW 22
-45,-67,-71,-53,-82,-77,-82,-59,-71,-100,-80,-73,-80,-100,-77,-67,-100,-68,-66,-54,-100,-100,-68,-100,-100,-66,-100,-100,HW 22
-48,-66,-66,-49,-71,-80,-100,-65,-74,-100,-83,-100,-77,-100,-100,-100,-100,-100,-67,-56,-100,-100,-64,-100,-100,-63,-100,-100,HW 22
-46,-63,-71,-48,-74,-75,-100,-68,-70,-72,-80,-67,-77,-100,-75,-60,-100,-58,-65,-69,-93,-44,-57,-76,-100,-58,-100,-100,HW 22
-45,-63,-78,-54,-82,-82,-78,-69,-100,-100,-100,-68,-75,-100,-71,-64,-100,-65,-70,-76,-100,-100,-66,-78,-100,-66,-100,-83,HW 22
-49,-64,-76,-51,-79,-81,-79,-54,-71,-100,-74,-100,-69,-100,-71,-64,-100,-64,-100,-71,-100,-100,-64,-100,-100,-64,-73,-100,HW 22
-51,-57,-75,-55,-83,-70,-100,-57,-100,-100,-100,-71,-75,-100,-100,-66,-100,-65,-60,-74,-79,-100,-64,-100,-100,-64,-66,-100,HW 22
-57,-58,-72,-60,-76,-64,-100,-59,-100,-100,-77,-68,-73,-100,-71,-70,-100,-71,-68,-74,-100,-44,-71,-100,-100,-70,-62,-87,HW 22
-100,-65,-75,-60,-72,-72,-100,-69,-100,-100,-82,-100,-72,-100,-79,-71,-100,-70,-100,-78,-79,-100,-68,-100,-74,-70,-65,-100,HW 22
-100,-68,-80,-64,-83,-79,-100,-68,-100,-73,-87,-73,-73,-100,-100,-66,-100,-69,-64,-100,-100,-48,-78,-100,-100,-67,-65,-100,HW 22
-100,-62,-73,-54,-73,-86,-73,-66,-100,-100,-89,-71,-82,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,HW 22
-100,-73,-80,-58,-79,-76,-100,-56,-70,-71,-81,-75,-100,-100,-73,-70,-100,-100,-100,-78,-100,-100,-100,-100,-100,-73,-72,-100,HW 22
-100,-69,-73,-57,-73,-80,-75,-71,-72,-100,-87,-73,-89,-100,-80,-72,-100,-71,-69,-100,-100,-66,-69,-100,-100,-69,-100,-100,HW 22
-100,-64,-72,-52,-77,-79,-77,-62,-70,-100,-81,-66,-70,-100,-81,-64,-100,-61,-65,-100,-100,-100,-63,-100,-71,-64,-100,-80,HW 22
-100,-60,-78,-56,-78,-100,-81,-64,-68,-100,-79,-100,-82,-100,-80,-68,-100,-68,-63,-79,-100,-52,-100,-100,-100,-66,-69,-100,HW 22
-100,-66,-69,-60,-75,-81,-78,-69,-75,-73,-82,-69,-71,-100,-100,-70,-100,-69,-67,-100,-100,-51,-69,-100,-100,-100,-70,-100,HW 22
-100,-66,-82,-55,-85,-76,-100,-68,-100,-100,-85,-74,-74,-100,-72,-64,-100,-100,-68,-100,-100,-100,-100,-100,-100,-64,-100,-100,HW 22
-100,-73,-84,-66,-74,-100,-82,-71,-100,-69,-88,-76,-74,-100,-100,-74,-100,-73,-65,-100,-92,-46,-74,-100,-100,-73,-67,-100,HW 22
-100,-61,-88,-62,-74,-72,-75,-63,-70,-100,-84,-100,-71,-100,-72,-68,-100,-67,-100,-100,-100,-100,-71,-100,-100,-67,-100,-100,HW 22
-100,-57,-73,-54,-77,-73,-100,-55,-76,-100,-83,-70,-68,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-69,-86,HW 22
-100,-69,-79,-58,-84,-74,-100,-63,-76,-71,-83,-65,-71,-100,-74,-100,-100,-71,-67,-79,-100,-48,-100,-100,-100,-100,-62,-100,HW 22
-100,-65,-75,-64,-75,-75,-80,-62,-74,-100,-84,-66,-84,-100,-72,-71,-100,-72,-100,-100,-76,-100,-73,-100,-100,-69,-100,-100,HW 22
-100,-68,-85,-60,-70,-76,-78,-61,-100,-67,-63,-74,-74,-100,-75,-73,-84,-100,-73,-78,-100,-100,-100,-100,-100,-100,-65,-100,HW 22
-100,-54,-72,-51,-73,-77,-80,-60,-100,-76,-87,-73,-79,-100,-73,-100,-100,-68,-70,-100,-100,-100,-67,-100,-100,-100,-72,-100,HW 22
-100,-69,-73,-46,-81,-76,-87,-66,-100,-100,-85,-72,-67,-100,-69,-62,-100,-64,-68,-100,-100,-100,-64,-100,-100,-62,-100,-100,HW 22
-100,-61,-71,-50,-78,-100,-100,-65,-100,-100,-76,-100,-72,-100,-100,-62,-100,-63,-83,-75,-84,-48,-100,-100,-74,-100,-71,-100,HW 22
-100,-56,-69,-51,-84,-100,-76,-68,-100,-100,-77,-71,-72,-100,-100,-68,-100,-66,-58,-100,-100,-51,-65,-79,-100,-64,-100,-100,HW 22
-100,-56,-77,-52,-78,-100,-87,-56,-100,-100,-83,-64,-85,-100,-100,-66,-100,-100,-65,-100,-100,-100,-100,-100,-100,-65,-100,-100,HW 22
-100,-61,-100,-75,-72,-100,-72,-76,-100,-70,-82,-70,-76,-100,-100,-100,-100,-67,-66,-69,-100,-55,-67,-74,-100,-100,-68,-87,HW 22
-100,-66,-79,-55,-81,-100,-80,-62,-70,-100,-82,-67,-75,-100,-73,-67,-100,-69,-66,-100,-100,-100,-68,-100,-100,-68,-100,-100,HW 22
-100,-72,-75,-60,-75,-84,-79,-64,-100,-100,-86,-72,-100,-100,-100,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,HW 22
-100,-65,-73,-48,-82,-100,-100,-65,-100,-100,-100,-75,-75,-100,-100,-100,-76,-70,-100,-100,-100,-57,-71,-100,-100,-70,-100,-100,HW 22
-100,-64,-78,-64,-73,-100,-83,-64,-100,-100,-83,-100,-81,-100,-80,-73,-100,-74,-100,-79,-100,-100,-73,-100,-100,-76,-100,-100,HW 22
-100,-73,-100,-59,-79,-71,-84,-62,-100,-71,-100,-70,-76,-100,-100,-100,-100,-72,-66,-100,-100,-56,-68,-100,-79,-100,-100,-100,HW 22
-100,-68,-83,-60,-76,-75,-100,-58,-100,-69,-83,-72,-71,-100,-100,-67,-100,-100,-100,-100,-100,-62,-66,-100,-64,-80,-66,-100,HW 22
-100,-66,-76,-57,-68,-78,-80,-62,-100,-100,-100,-69,-72,-100,-100,-69,-100,-70,-71,-71,-82,-100,-100,-100,-78,-100,-58,-100,HW 22
-100,-74,-76,-51,-80,-75,-100,-100,-100,-69,-88,-69,-70,-100,-69,-68,-100,-68,-71,-69,-100,-45,-68,-100,-66,-68,-69,-100,HW 22
-100,-68,-77,-56,-74,-78,-86,-62,-100,-100,-84,-69,-67,-100,-72,-66,-100,-67,-100,-71,-100,-100,-68,-100,-100,-67,-69,-100,HW 22
-100,-66,-75,-50,-80,-74,-100,-63,-100,-100,-87,-75,-77,-100,-75,-67,-100,-69,-69,-69,-100,-100,-71,-100,-100,-100,-100,-100,HW 22
-100,-64,-71,-48,-70,-77,-81,-58,-71,-78,-100,-77,-67,-100,-70,-64,-100,-64,-63,-100,-84,-46,-63,-100,-100,-64,-67,-100,HW 22
-100,-68,-75,-52,-77,-68,-89,-57,-70,-100,-100,-66,-74,-100,-73,-69,-100,-69,-100,-100,-84,-100,-71,-100,-100,-70,-100,-100,HW 22
-100,-53,-68,-60,-100,-100,-100,-69,-100,-100,-77,-100,-72,-100,-100,-100,-100,-67,-100,-66,-100,-53,-66,-100,-100,-100,-71,-100,HW 22
-100,-68,-75,-51,-80,-100,-86,-60,-79,-100,-87,-100,-77,-100,-100,-60,-100,-100,-100,-66,-100,-52,-100,-100,-100,-64,-69,-100,HW 22
-100,-56,-73,-55,-71,-100,-100,-56,-100,-100,-79,-100,-74,-100,-100,-58,-100,-59,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,HW 22
-100,-54,-80,-65,-74,-100,-86,-55,-68,-100,-80,-67,-76,-100,-70,-100,-100,-100,-63,-63,-100,-58,-100,-100,-100,-66,-73,-100,HW 22
-100,-66,-76,-55,-79,-100,-85,-74,-100,-100,-85,-76,-79,-100,-77,-69,-100,-69,-100,-63,-100,-60,-100,-100,-100,-100,-100,-100,HW 22
-100,-66,-81,-61,-75,-75,-100,-67,-100,-100,-82,-71,-73,-100,-78,-67,-100,-67,-68,-68,-100,-100,-70,-100,-81,-67,-72,-100,HW 22
-100,-63,-71,-53,-82,-82,-100,-58,-100,-100,-100,-67,-77,-100,-71,-68,-100,-100,-68,-57,-100,-48,-69,-100,-67,-69,-100,-100,HW 22
-100,-58,-77,-47,-77,-75,-100,-64,-100,-100,-100,-100,-72,-100,-73,-69,-100,-65,-62,-68,-100,-44,-100,-79,-100,-69,-64,-100,HW 22
-100,-64,-64,-50,-73,-78,-100,-64,-100,-74,-100,-67,-72,-100,-73,-65,-100,-66,-61,-58,-100,-100,-65,-100,-100,-66,-64,-100,HW 22
