El-lab,El-modarag,Redmi,youssef,Farouk,Ramadan,badra22,STUDBME2,ARC3,CMP_LAB2,CMP_LAB3,STUDBME1,CMP_LAB1,CMP_LAB4,CMP-lab1,ARC1,BMEStudentLab3,STUDBME3,location
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-57,-100.0,-75.0,-72,-100.0,-100.0,-100,-68.0,-100.0,-100.0,-100.0,12
-100.0,-67.0,-56.0,-100.0,-72.0,-51.0,-100.0,-72,-60.0,-71.0,-72,-100.0,-72.0,-71,-100.0,-100.0,-100.0,-100.0,4
-69.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-54.0,-53,-100.0,-53.0,-53,-100.0,-100.0,-100.0,-100.0,10
-100.0,-71.0,-57.0,-100.0,-100.0,-66.0,-100.0,-55,-100.0,-65.0,-64,-100.0,-66.0,-64,-100.0,-100.0,-100.0,-100.0,7
-72.0,-100.0,-70.0,-100.0,-74.0,-100.0,-100.0,-48,-100.0,-100.0,-100,-100.0,-61.0,-63,-58.0,-100.0,-100.0,-100.0,9
-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-45,-100.0,-100.0,-64,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-53,-100.0,-45.0,-50,-66.0,-50.0,-51,-100.0,-100.0,-100.0,-100.0,11
-100.0,-70.0,-56.0,-100.0,-100.0,-100.0,-100.0,-68,-62.0,-100.0,-67,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-57.0,-64.0,-100.0,-100.0,-53.0,-100.0,-69,-73.0,-68.0,-70,-100.0,-70.0,-68,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-54,-100.0,-100.0,-100,-100.0,-100.0,-100,-71.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-53,-100.0,-51.0,-100,-100.0,-49.0,-100,-66.0,-100.0,-100.0,-100.0,11
-48.0,-100.0,-79.0,-100.0,-87.0,-100.0,-56.0,-57,-100.0,-73.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-68.0,-100.0,-100.0,-71.0,-85.0,-56,-81.0,-71.0,-69,-48.0,-72.0,-72,-69.0,-100.0,-100.0,-100.0,7
-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-100.0,-72,-100.0,-100.0,-72,-75.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-100.0,-100.0,-55.0,-100.0,-100.0,-49,-100.0,-48.0,-47,-69.0,-46.0,-48,-71.0,-100.0,-100.0,-78.0,11
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-66.0,-66,-100.0,-67.0,-64,-100.0,-100.0,-100.0,-100.0,9
-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-45,-100.0,-63.0,-100,-100.0,-100.0,-100,-61.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-49,-100.0,-100.0,-100,-100.0,-100.0,-71,-100.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-100.0,-51,-100.0,-59.0,-100,-100.0,-61.0,-55,-68.0,-100.0,-100.0,-100.0,11
-68.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-46,-100.0,-56.0,-100,-100.0,-100.0,-51,-68.0,-100.0,-100.0,-100.0,10
-100.0,-63.0,-60.0,-100.0,-100.0,-47.0,-100.0,-71,-59.0,-79.0,-78,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-52.0,-100.0,-100.0,-56,-100.0,-49.0,-47,-100.0,-52.0,-49,-71.0,-100.0,-100.0,-100.0,11
-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-65,-100.0,-100.0,-100,-100.0,-100.0,-76,-100.0,-100.0,-100.0,-100.0,12
-100.0,-67.0,-66.0,-100.0,-100.0,-59.0,-100.0,-68,-100.0,-100.0,-100,-47.0,-76.0,-74,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-60.0,-100.0,-100.0,-69.0,-100.0,-51,-100.0,-100.0,-100,-52.0,-60.0,-64,-79.0,-100.0,-100.0,-100.0,7
-100.0,-59.0,-74.0,-100.0,-78.0,-64.0,-100.0,-59,-70.0,-100.0,-100,-100.0,-78.0,-78,-100.0,-83.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-49.0,-100.0,-100.0,-47,-100.0,-45.0,-45,-100.0,-44.0,-45,-100.0,-100.0,-100.0,-100.0,11
-100.0,-100.0,-57.0,-100.0,-53.0,-100.0,-100.0,-54,-100.0,-48.0,-49,-100.0,-50.0,-49,-100.0,-100.0,-100.0,-74.0,10
-75.0,-100.0,-65.0,-100.0,-63.0,-100.0,-100.0,-46,-100.0,-54.0,-57,-100.0,-56.0,-100,-66.0,-100.0,-100.0,-100.0,10
-100.0,-66.0,-50.0,-100.0,-100.0,-55.0,-84.0,-61,-100.0,-68.0,-72,-45.0,-73.0,-71,-100.0,-100.0,-100.0,-100.0,4
-57.0,-100.0,-68.0,-100.0,-100.0,-100.0,-66.0,-45,-100.0,-100.0,-74,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,13
-92.0,-82.0,-75.0,-100.0,-100.0,-100.0,-100.0,-71,-90.0,-82.0,-86,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-51,-100.0,-100.0,-60,-49.0,-62.0,-62,-71.0,-100.0,-100.0,-100.0,7
-100.0,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-69,-84.0,-76.0,-76,-71.0,-79.0,-77,-100.0,-100.0,-100.0,-100.0,6
-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-58,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70,-85.0,-82.0,-100,-70.0,-84.0,-83,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-57,-100.0,-100.0,-100,-100.0,-100.0,-71,-100.0,-100.0,-100.0,-100.0,13
-100.0,-71.0,-66.0,-100.0,-100.0,-100.0,-100.0,-60,-100.0,-72.0,-75,-100.0,-84.0,-71,-100.0,-100.0,-100.0,-100.0,7
-100.0,-74.0,-62.0,-100.0,-100.0,-57.0,-100.0,-65,-100.0,-75.0,-74,-100.0,-100.0,-75,-100.0,-100.0,-100.0,-100.0,4
-100.0,-71.0,-69.0,-100.0,-100.0,-100.0,-100.0,-63,-100.0,-73.0,-71,-59.0,-73.0,-70,-100.0,-100.0,-100.0,-100.0,7
-45.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-57,-100.0,-74.0,-70,-100.0,-100.0,-72,-100.0,-100.0,-100.0,-100.0,12
-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78,-100.0,-100.0,-82,-100.0,-100.0,-82,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-55,-100.0,-100.0,-100,-100.0,-49.0,-50,-100.0,-100.0,-100.0,-100.0,10
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-49,-100.0,-100.0,-100,-100.0,-73.0,-73,-100.0,-100.0,-100.0,-100.0,13
-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81,-100.0,-100.0,-100,-100.0,-77.0,-100,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-69.0,-100.0,-58.0,-100.0,-100.0,-50,-100.0,-51.0,-51,-100.0,-52.0,-52,-71.0,-100.0,-87.0,-100.0,10
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-61,-100.0,-47.0,-45,-100.0,-45.0,-45,-71.0,-100.0,-100.0,-77.0,10
-100.0,-65.0,-64.0,-100.0,-100.0,-54.0,-100.0,-67,-100.0,-100.0,-76,-44.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-64.0,-100.0,-58.0,-100.0,-100.0,-48,-100.0,-59.0,-61,-100.0,-60.0,-59,-100.0,-100.0,-100.0,-100.0,10
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-48,-100.0,-63.0,-100,-100.0,-62.0,-100,-64.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-49.0,-100.0,-100.0,-61,-100.0,-100.0,-46,-71.0,-47.0,-48,-67.0,-100.0,-100.0,-100.0,11
-77.0,-100.0,-55.0,-100.0,-100.0,-64.0,-100.0,-53,-100.0,-100.0,-67,-100.0,-66.0,-100,-69.0,-100.0,-100.0,-100.0,7
-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-100.0,-100.0,-100,-100.0,-86.0,-85,-100.0,-100.0,-100.0,-100.0,6
-100.0,-69.0,-64.0,-100.0,-100.0,-58.0,-100.0,-65,-100.0,-100.0,-100,-100.0,-70.0,-68,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-58,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-70.0,-62.0,-100.0,-100.0,-100.0,-100.0,-59,-71.0,-72.0,-68,-56.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,7
-65.0,-100.0,-76.0,-100.0,-100.0,-100.0,-59.0,-54,-100.0,-79.0,-76,-100.0,-100.0,-77,-72.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-49,-100.0,-44.0,-45,-100.0,-46.0,-45,-100.0,-100.0,-100.0,-73.0,11
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-54,-100.0,-76.0,-76,-100.0,-100.0,-73,-100.0,-100.0,-100.0,-100.0,12
-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71,-100.0,-100.0,-80,-64.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,6
-70.0,-100.0,-61.0,-100.0,-100.0,-100.0,-100.0,-46,-100.0,-55.0,-55,-63.0,-53.0,-54,-64.0,-100.0,-100.0,-100.0,10
-100.0,-76.0,-67.0,-100.0,-100.0,-68.0,-100.0,-58,-100.0,-100.0,-100,-48.0,-71.0,-100,-100.0,-100.0,-100.0,-100.0,7
-100.0,-67.0,-55.0,-100.0,-100.0,-73.0,-100.0,-65,-100.0,-100.0,-100,-58.0,-100.0,-66,-68.0,-100.0,-100.0,-100.0,7
-100.0,-72.0,-64.0,-100.0,-100.0,-80.0,-100.0,-60,-100.0,-73.0,-100,-100.0,-73.0,-100,-100.0,-100.0,-100.0,-100.0,7
-73.0,-100.0,-66.0,-100.0,-74.0,-100.0,-100.0,-48,-100.0,-66.0,-67,-100.0,-67.0,-67,-72.0,-100.0,-100.0,-100.0,9
-100.0,-71.0,-71.0,-100.0,-100.0,-100.0,-100.0,-67,-80.0,-73.0,-72,-60.0,-72.0,-71,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-67.0,-100.0,-55.0,-100.0,-100.0,-55,-100.0,-55.0,-54,-100.0,-55.0,-54,-68.0,-100.0,-100.0,-100.0,10
-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-48,-100.0,-100.0,-65,-100.0,-64.0,-64,-61.0,-100.0,-100.0,-100.0,9
-100.0,-62.0,-67.0,-100.0,-100.0,-56.0,-100.0,-57,-100.0,-72.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-68,-100.0,-100.0,-69,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,-55.0,-62,-100.0,-81.0,-79,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-68.0,-100.0,-54.0,-100.0,-66.0,-100.0,-100.0,-51,-100.0,-55.0,-54,-100.0,-55.0,-54,-100.0,-100.0,-100.0,-91.0,10
-100.0,-79.0,-86.0,-100.0,-100.0,-100.0,-100.0,-79,-89.0,-100.0,-82,-100.0,-100.0,-86,-100.0,-100.0,-100.0,-100.0,6
-72.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-56,-100.0,-50.0,-51,-100.0,-50.0,-53,-65.0,-100.0,-100.0,-100.0,10
-100.0,-100.0,-69.0,-100.0,-70.0,-100.0,-74.0,-51,-100.0,-100.0,-52,-100.0,-100.0,-100,-57.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-57.0,-100.0,-100.0,-50,-100.0,-49.0,-47,-100.0,-47.0,-47,-100.0,-100.0,-100.0,-100.0,11
-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-47,-100.0,-100.0,-100,-100.0,-67.0,-70,-72.0,-100.0,-100.0,-100.0,13
-100.0,-62.0,-72.0,-100.0,-71.0,-58.0,-100.0,-63,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-49,-100.0,-100.0,-68,-100.0,-100.0,-69,-77.0,-100.0,-100.0,-100.0,13
-100.0,-64.0,-52.0,-100.0,-100.0,-53.0,-100.0,-62,-72.0,-100.0,-72,-46.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-100.0,-76.0,-78,-61.0,-76.0,-100,-100.0,-100.0,-100.0,-100.0,6
-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-49,-100.0,-100.0,-66,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-47.0,-51,-100.0,-100.0,-73,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-59.0,-100.0,-54.0,-100.0,-100.0,-51,-100.0,-100.0,-48,-57.0,-100.0,-51,-64.0,-100.0,-100.0,-81.0,10
-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-74.0,-47,-100.0,-100.0,-100,-100.0,-56.0,-100,-63.0,-100.0,-100.0,-100.0,9
-78.0,-100.0,-70.0,-100.0,-75.0,-100.0,-100.0,-50,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-47,-100.0,-46.0,-47,-100.0,-52.0,-51,-64.0,-100.0,-100.0,-76.0,11
-100.0,-62.0,-48.0,-100.0,-100.0,-48.0,-90.0,-68,-100.0,-77.0,-100,-33.0,-78.0,-100,-100.0,-79.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-50,-100.0,-79.0,-47,-100.0,-46.0,-47,-81.0,-100.0,-100.0,-100.0,11
-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-57,-100.0,-100.0,-100,-100.0,-100.0,-100,-74.0,-100.0,-100.0,-100.0,13
-100.0,-75.0,-56.0,-100.0,-100.0,-72.0,-100.0,-58,-71.0,-100.0,-100,-100.0,-70.0,-73,-70.0,-100.0,-100.0,-100.0,7
-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-48,-100.0,-100.0,-54,-100.0,-100.0,-57,-61.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-68.0,-100.0,-60.0,-100.0,-100.0,-47,-100.0,-100.0,-53,-100.0,-100.0,-52,-65.0,-100.0,-100.0,-100.0,10
-79.0,-100.0,-76.0,-100.0,-78.0,-100.0,-100.0,-50,-100.0,-57.0,-60,-100.0,-60.0,-59,-63.0,-100.0,-100.0,-100.0,9
-50.0,-100.0,-70.0,-100.0,-100.0,-100.0,-57.0,-56,-100.0,-100.0,-70,-100.0,-100.0,-71,-76.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78,-82.0,-86.0,-85,-75.0,-80.0,-100,-100.0,-100.0,-100.0,-100.0,6
-100.0,-73.0,-60.0,-100.0,-100.0,-72.0,-100.0,-51,-76.0,-68.0,-67,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,7
-100.0,-72.0,-58.0,-100.0,-100.0,-66.0,-100.0,-60,-69.0,-100.0,-66,-62.0,-67.0,-80,-100.0,-100.0,-100.0,-100.0,7
-100.0,-59.0,-100.0,-100.0,-100.0,-63.0,-100.0,-70,-100.0,-79.0,-77,-53.0,-100.0,-73,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-53,-100.0,-48.0,-48,-100.0,-49.0,-52,-100.0,-100.0,-100.0,-73.0,11
-100.0,-76.0,-72.0,-100.0,-100.0,-100.0,-100.0,-75,-100.0,-74.0,-75,-100.0,-100.0,-72,-100.0,-100.0,-100.0,-100.0,6
-100.0,-69.0,-62.0,-100.0,-100.0,-69.0,-100.0,-56,-100.0,-67.0,-68,-100.0,-66.0,-67,-100.0,-100.0,-100.0,-100.0,7
-77.0,-72.0,-65.0,-100.0,-100.0,-100.0,-100.0,-54,-100.0,-68.0,-68,-100.0,-67.0,-67,-77.0,-100.0,-100.0,-100.0,7
-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53.0,-55,-100.0,-73.0,-100,-100.0,-100.0,-100,-72.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-100.0,-48,-100.0,-52.0,-49,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,11
-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66,-75.0,-73.0,-75,-66.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,6
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-46.0,-52,-100.0,-73.0,-70,-100.0,-100.0,-69,-74.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-70,-100.0,-100.0,-72,-61.0,-100.0,-74,-78.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-100.0,-100.0,-53.0,-100.0,-100.0,-54,-100.0,-50.0,-49,-65.0,-50.0,-49,-100.0,-100.0,-100.0,-82.0,11
-72.0,-100.0,-71.0,-100.0,-73.0,-100.0,-100.0,-46,-100.0,-100.0,-100,-100.0,-57.0,-100,-64.0,-100.0,-100.0,-100.0,9
-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-56,-100.0,-100.0,-100,-100.0,-100.0,-77,-100.0,-100.0,-100.0,-100.0,12
-100.0,-100.0,-63.0,-100.0,-100.0,-61.0,-100.0,-64,-64.0,-100.0,-100,-41.0,-72.0,-74,-100.0,-100.0,-100.0,-100.0,4
-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-56,-100.0,-58.0,-56,-100.0,-100.0,-100,-60.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-46.0,-100.0,-100.0,-45,-100.0,-45.0,-47,-100.0,-44.0,-45,-70.0,-100.0,-100.0,-76.0,11
-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-49,-100.0,-60.0,-62,-100.0,-61.0,-60,-69.0,-100.0,-100.0,-100.0,9
-71.0,-100.0,-60.0,-100.0,-62.0,-100.0,-100.0,-48,-100.0,-51.0,-100,-100.0,-52.0,-100,-68.0,-100.0,-100.0,-78.0,10
-68.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-44,-100.0,-50.0,-50,-100.0,-49.0,-49,-65.0,-100.0,-100.0,-100.0,10
-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-50,-100.0,-73.0,-71,-100.0,-100.0,-73,-100.0,-100.0,-100.0,-100.0,12
-50.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-62,-100.0,-100.0,-100,-100.0,-100.0,-74,-75.0,-100.0,-100.0,-100.0,12
-100.0,-70.0,-61.0,-100.0,-100.0,-100.0,-100.0,-63,-100.0,-100.0,-100,-100.0,-100.0,-67,-73.0,-100.0,-100.0,-100.0,7
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-51,-100.0,-55.0,-59,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,-100.0,-57,-100.0,-48.0,-48,-100.0,-51.0,-47,-100.0,-100.0,-100.0,-100.0,11
-100.0,-64.0,-70.0,-100.0,-100.0,-51.0,-100.0,-69,-59.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-100.0,-100.0,-47.0,-100.0,-100.0,-49,-100.0,-52.0,-100,-100.0,-52.0,-44,-100.0,-100.0,-100.0,-73.0,11
-66.0,-100.0,-59.0,-100.0,-100.0,-100.0,-66.0,-46,-100.0,-100.0,-100,-100.0,-100.0,-100,-72.0,-100.0,-100.0,-100.0,13
-100.0,-72.0,-71.0,-100.0,-100.0,-68.0,-100.0,-57,-71.0,-69.0,-70,-100.0,-68.0,-68,-100.0,-100.0,-100.0,-100.0,7
-100.0,-65.0,-68.0,-100.0,-100.0,-50.0,-100.0,-72,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-64.0,-57,-100.0,-100.0,-100,-100.0,-100.0,-75,-68.0,-100.0,-100.0,-100.0,13
-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-87,-87.0,-85.0,-83,-100.0,-84.0,-100,-100.0,-100.0,-100.0,-100.0,6
-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-74.0,-51,-100.0,-59.0,-66,-100.0,-62.0,-60,-61.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-53,-100.0,-60.0,-60,-100.0,-60.0,-61,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-56.0,-58,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,13
-100.0,-76.0,-71.0,-100.0,-100.0,-67.0,-100.0,-66,-69.0,-73.0,-74,-46.0,-74.0,-73,-100.0,-100.0,-100.0,-100.0,7
-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-47,-100.0,-51.0,-47,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-80.0,10
-100.0,-100.0,-61.0,-100.0,-100.0,-100.0,-74.0,-48,-100.0,-100.0,-100,-100.0,-63.0,-100,-65.0,-100.0,-100.0,-100.0,9
-50.0,-100.0,-100.0,-100.0,-79.0,-100.0,-50.0,-56,-100.0,-100.0,-100,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,12
-70.0,-100.0,-58.0,-100.0,-72.0,-100.0,-100.0,-52,-100.0,-100.0,-100,-100.0,-100.0,-100,-55.0,-100.0,-100.0,-100.0,9
-75.0,-100.0,-57.0,-100.0,-66.0,-100.0,-100.0,-52,-100.0,-100.0,-62,-100.0,-100.0,-61,-74.0,-100.0,-100.0,-100.0,10
-100.0,-66.0,-49.0,-100.0,-100.0,-49.0,-100.0,-62,-65.0,-68.0,-100,-34.0,-69.0,-100,-100.0,-100.0,-100.0,-100.0,4
-100.0,-71.0,-60.0,-100.0,-100.0,-100.0,-100.0,-63,-67.0,-72.0,-72,-40.0,-100.0,-100,-100.0,-84.0,-100.0,-100.0,4
-79.0,-71.0,-66.0,-100.0,-100.0,-100.0,-79.0,-62,-100.0,-100.0,-72,-100.0,-71.0,-100,-72.0,-100.0,-100.0,-100.0,6
-87.0,-100.0,-80.0,-100.0,-75.0,-100.0,-100.0,-56,-100.0,-56.0,-54,-100.0,-59.0,-57,-55.0,-100.0,-100.0,-100.0,9
